,stop_name,train
271,Lexington Av/63 St,4
272,Liberty Av,2
273,Livonia Av,1
274,Longwood Av,1
275,Lorimer St,3
276,Marble Hill - 225 St,1
277,Marcy Av,2
278,Metropolitan Av,1
279,Mets - Willets Point,1
280,Middle Village - Metropolitan Av,1
281,Middletown Rd,1
282,Montrose Av,1
283,Morgan Av,1
284,Morris Park,1
285,Morrison Av- Sound View,1
286,Mosholu Pkwy,1
287,Mt Eden Av,1
288,Myrtle - Willoughby Avs,1
289,Myrtle - Wyckoff Avs,2
290,Myrtle Av,2
291,Nassau Av,1
292,Neck Rd,1
293,Neptune Av,1
294,Nereid Av,2
295,Nevins St,4
296,New Dorp,1
297,New Lots Av,5
298,New Utrecht Av,1
299,Newkirk Av,2
300,Newkirk Plaza,2
301,Northern Blvd,3
302,Norwood - 205 St,1
303,Norwood Av,1
304,Nostrand Av,6
305,Oakwood Heights,1
306,Ocean Pkwy,1
307,Old Town,1
308,Ozone Park - Lefferts Blvd,1
309,Park Pl,3
310,Parkchester,1
311,Parkside Av,1
312,Parsons Blvd,2
313,Pelham Bay Park,1
314,Pelham Pkwy,3
315,Pennsylvania Av,4
316,Pleasant Plains,1
317,President St,2
318,Prince St,4
319,Prince's Bay,1
320,Prospect Av,5
321,Prospect Park,3
322,Queens Plaza,3
323,Queensboro Plaza,3
324,Ralph Av,2
325,Rector St,5
326,Richmond Valley,1
327,Rockaway Av,6
328,Rockaway Blvd,1
329,Rockaway Park - Beach 116 St,2
330,Roosevelt Island,1
331,Saratoga Av,4
332,Seneca Av,1
333,Sheepshead Bay,2
334,Shepherd Av,2
335,Simpson St,2
336,Smith - 9 Sts,2
337,South Ferry,2
338,Spring St,5
339,St George,1
340,St Lawrence Av,1
341,Stapleton,1
342,Steinway St,3
343,Sterling St,2
344,Sutphin Blvd,1
345,Sutphin Blvd - Archer Av - JFK Airport,2
346,Sutter Av,1
347,Sutter Av - Rutland Rd,4
348,Times Sq - 42 St,10
349,Tompkinsville,1
350,Tottenville,1
351,Tremont Av,2
352,Union Sq - 14 St,1
353,Union St,3
354,Utica Av,2
355,Van Cortlandt Park - 242 St,1
356,Van Siclen Av,7
357,Vernon Blvd - Jackson Av,1
358,W 4 St,7
359,W 8 St - NY Aquarium,2
360,Wakefield - 241 St,2
361,Wall St,5
362,West Farms Sq - E Tremont Av,2
363,Westchester Sq - E Tremont Av,1
364,Whitehall St,3
365,Whitlock Av,1
366,Wilson Av,1
367,Winthrop St,2
368,Woodhaven Blvd,4
369,Woodlawn,1
370,Woodside - 61 St,1
371,World Trade Center,1
372,York St,1
373,Zerega Av,1
