,stop_name,line_num,stop_id,route_id,stop_lat,stop_lon,node_id
105,18 St,3,131,1,40.74104,-73.997871,131_1
106,18 St,3,131,2,40.74104,-73.997871,131_2
107,18 St,3,131,5,40.74104,-73.997871,131_5
108,181 St,2,111,1,40.849505,-73.933596,111_1
109,181 St,2,A06,A,40.851695,-73.937969,A06_A
110,182-183 Sts,2,D06,B,40.856093,-73.900741,D06_B
111,182-183 Sts,2,D06,D,40.856093,-73.900741,D06_D
112,183 St,1,408,4,40.858407,-73.903879,408_4
113,190 St,1,A05,A,40.859022,-73.93418,A05_A
114,191 St,1,110,1,40.855225,-73.929412,110_1
115,2 Av,2,F14,F,40.723402,-73.989938,F14_F
116,2 Av,2,F14,M,40.723402,-73.989938,F14_M
117,20 Av,2,B20,D,40.604556,-73.998168,B20_D
118,20 Av,2,N06,N,40.61741,-73.985026,N06_N
119,207 St,1,108,1,40.864621,-73.918822,108_1
120,21 St,1,G24,G,40.744065,-73.949724,G24_G
121,21 St - Queensbridge,1,B04,F,40.754203,-73.942836,B04_F
122,215 St,1,107,1,40.869444,-73.915279,107_1
123,219 St,2,207,2,40.883895,-73.862633,207_2
124,219 St,2,207,5,40.883895,-73.862633,207_5
125,225 St,2,206,2,40.888022,-73.860341,206_2
126,225 St,2,206,5,40.888022,-73.860341,206_5
127,23 St,14,130,1,40.744081,-73.995657,130_1
128,23 St,14,130,2,40.744081,-73.995657,130_2
129,23 St,14,634,4,40.739864,-73.986599,634_4
130,23 St,14,130,5,40.744081,-73.995657,130_5
131,23 St,14,634,6,40.739864,-73.986599,634_6
132,23 St,14,A30,A,40.745906,-73.998041,A30_A
133,23 St,14,A30,C,40.745906,-73.998041,A30_C
134,23 St,14,A30,E,40.745906,-73.998041,A30_E
135,23 St,14,D18,F,40.742878,-73.992821,D18_F
136,23 St,14,D18,M,40.742878,-73.992821,D18_M
137,23 St,14,R19,N,40.741303,-73.989344,R19_N
138,23 St,14,R19,Q,40.741303,-73.989344,R19_Q
139,23 St,14,R19,R,40.741303,-73.989344,R19_R
140,23 St,14,R19,W,40.741303,-73.989344,R19_W
141,231 St,1,104,1,40.878856,-73.904834,104_1
142,233 St,2,205,2,40.893193,-73.857473,205_2
143,233 St,2,205,5,40.893193,-73.857473,205_5
144,238 St,1,103,1,40.884667,-73.90087,103_1
145,25 Av,1,B22,D,40.597704,-73.986829,B22_D
146,25 St,3,R35,D,40.660397,-73.998091,R35_D
147,25 St,3,R35,N,40.660397,-73.998091,R35_N
148,25 St,3,R35,R,40.660397,-73.998091,R35_R
149,28 St,9,129,1,40.747215,-73.993365,129_1
150,28 St,9,129,2,40.747215,-73.993365,129_2
151,28 St,9,633,4,40.74307,-73.984264,633_4
152,28 St,9,129,5,40.747215,-73.993365,129_5
153,28 St,9,633,6,40.74307,-73.984264,633_6
154,28 St,9,R18,N,40.745494,-73.988691,R18_N
155,28 St,9,R18,Q,40.745494,-73.988691,R18_Q
156,28 St,9,R18,R,40.745494,-73.988691,R18_R
157,28 St,9,R18,W,40.745494,-73.988691,R18_W
158,3 Av,1,L05,L,40.732849,-73.986122,L05_L
159,3 Av - 138 St,1,619,6,40.810476,-73.926138,619_6
160,3 Av - 149 St,2,221,2,40.816109,-73.917757,221_2
161,3 Av - 149 St,2,221,5,40.816109,-73.917757,221_5
